	Text	Vaccine content	Vaccine safety	Filter	text_clean	text_wo_filter_word	text_wo_stopwords_or_filter
0	 @agawilsonshow: had the pleasure to interview @p_mcculloughmd @jathorpmfm and claire price about their recent findings on the association between the covid-19 vaccine and blood clots. #canwetalkaboutit watch full interview here: https://t.co/iiqjj1na4h	1.0	1	COVID-19	  had the pleasure to interview _mcculloughmd  and claire price about their recent findings on the association between the covid  vaccine and blood clots canwetalkaboutit watch full interview here 	  had the pleasure to interview _mcculloughmd  and claire price about their recent findings on the association between the covid  vaccine and blood clots canwetalkaboutit watch full interview here 	pleasure interview _mcculloughmd claire price recent findings association covid vaccine blood clots canwetalkaboutit watch full interview
1	 @austerrewyatt1: what's your favorite part of the covid-19 vaccine? a.) you can still spread the virusb.) no true immunity c.) 10-15% reaction rated.) increased hiv riske.) bell's palsyf.) anaphylaxis g.) dropping birth ratesh.) blood clotsi.) myocarditisj.) compromised immune system…	1.0	1	COVID-19	  whats your favorite pa of the covid  vaccine  a you can still spread the virusb no true immunity c  reaction rated increased hiv riske bells palsyf anaphylaxis g dropping bih ratesh blood clotsi myocarditisj compromised immune system	  whats your favorite pa of the covid  vaccine  a you can still spread the virusb no true immunity c  reaction rated increased hiv riske bells palsyf anaphylaxis g dropping bih ratesh blood clotsi myocarditisj compromised immune system	whats favorite pa covid vaccine still spread virusb true immunity c reaction rated increased hiv riske bells palsyf anaphylaxis g dropping bih ratesh blood clotsi myocarditisj compromised immune system
2	 @childrenshd: 'pfizer took my career away'tim mcadams, a 59-year-old pilot, health enthusiast, husband and father was content with his job training pilots for airbus helicopters — a job he held for over a decade — until airbus mandated the covid-19 vaccine for its employees.tim received… https://t.co/ddrxw3nlva	1.0	1	COVID-19	  pfizer took my career awaytim mcadams a yearold pilot health enthusiast husband and father was content with his job training pilots for airbus helicopters  a job he held for over a decade  until airbus mandated the covid  vaccine for its employeestim received 	  pfizer took my career awaytim mcadams a yearold pilot health enthusiast husband and father was content with his job training pilots for airbus helicopters  a job he held for over a decade  until airbus mandated the covid  vaccine for its employeestim received 	pfizer took career awaytim mcadams yearold pilot health enthusiast husband father content job training pilots airbus helicopters job held decade airbus mandated covid vaccine employeestim received
3	" @drloupis: cdc quietly removes covid vaccine adverse events from website.the u.s. cdc has halted the collection of covid-19 vaccine adverse events reports through the agency's v-safe page even as millions of americans reported being ""impacted"" by these vaccines. https://t.co/dvgqlgaecz"	1.0	1	COVID-19	  cdc quietly removes covid vaccine adverse events from websitethe us cdc has halted the collection of covid  vaccine adverse events repos through the agencys vsafe page even as millions of americans repoed being impacted by these vaccine  	  cdc quietly removes covid vaccine adverse events from websitethe us cdc has halted the collection of covid  vaccine adverse events repos through the agencys vsafe page even as millions of americans repoed being impacted by these vaccine  	cdc quietly removes covid vaccine adverse events websitethe us cdc halted collection covid vaccine adverse events repos agencys vsafe page even millions americans repoed impacted vaccine
4	" @epochtimes: george watts jr., 24, died on oct. 27, 2021, from ""covid-19 vaccine-related myocarditis,""  the certifier said. https://t.co/e7okz4mr1nmr. watts collapsed at home several weeks after receiving a 2nd pfizer shot and was pronounced dead after being rushed to a hospital."	1.0	1	COVID-19	  george watts jr  died on oct   from covid  vaccine elated myocarditis  the ceifier said  watts collapsed at home several weeks after receiving a nd pfizer shot and was pronounced dead after being rushed to a hospital	  george watts jr  died on oct   from covid  vaccine elated myocarditis  the ceifier said  watts collapsed at home several weeks after receiving a nd pfizer shot and was pronounced dead after being rushed to a hospital	george watts jr died oct covid vaccine elated myocarditis ceifier said watts collapsed home several weeks receiving nd pfizer shot pronounced dead rushed hospital
5	" @ez2p8: renowned american anchor, news, and political commentator megyn kelly explains why she regrets taking the covid-19 vaccine after developing an ""autoimmune problem"" 💉!美国著名主播、新闻和政治评论人梅根·凯利 (megyn kelly) 讲述为什么她在出现""自身免疫问题""后后悔接种了新冠疫苗💉！ https://t.co/uycu4vg1kq"	1.0	1	COVID-19	  renowned american anchor news and political commentator megyn kelly explains why she regrets taking the covid  vaccine after developing an autoimmune problem 美国著名主播新闻和政治评论人梅根凯利 megyn kelly 讲述为什么她在出现自身免疫问题后后悔接种了新冠疫苗 	  renowned american anchor news and political commentator megyn kelly explains why she regrets taking the covid  vaccine after developing an autoimmune problem 美国著名主播新闻和政治评论人梅根凯利 megyn kelly 讲述为什么她在出现自身免疫问题后后悔接种了新冠疫苗 	renowned american anchor news political commentator megyn kelly explains regrets taking covid vaccine developing autoimmune problem 美国著名主播新闻和政治评论人梅根凯利 megyn kelly 讲述为什么她在出现自身免疫问题后后悔接种了新冠疫苗
6	" @makismd: lakewood colorado police department officer fred saforo died at age 26 after ""brave battle with an illness""covid-19 vaccine mandated professions are getting annihilated. there are so many police officer deaths i can't keep up reporting them#diedsuddenly #cdnpoli #ableg https://t.co/5suc7twhfv"	1.0	1	COVID-19	  lakewood colorado police depament officer fred saforo died at age  after brave battle with an illnesscovid  vaccine mandated professions are getting annihilated there are so many police officer deaths i cant keep up repoing themdiedsuddenly cdnpoli ableg 	  lakewood colorado police depament officer fred saforo died at age  after brave battle with an illnesscovid  vaccine mandated professions are getting annihilated there are so many police officer deaths i cant keep up repoing themdiedsuddenly cdnpoli ableg 	lakewood colorado police depament officer fred saforo died age brave battle illnesscovid vaccine mandated professions getting annihilated many police officer deaths cant keep repoing themdiedsuddenly cdnpoli ableg
7	 @makismd: new aicle: vaccine injury treatment - fasting for 48-72 hours creates autophagy - body's detox process that kills covid-19 vaccine spike protein damaged cells &amp; reboots immune systemmrna vaccine injured people have damaged immune systems. fasting creates new immune cells.… https://t.co/sagfojzmip	1.0	1	COVID-19	  new aicle vaccine injury treatment  fasting for 8 hours creates autophagy  bodys detox process that kills covid  vaccine spike protein damaged cells  reboots immune systemmrna vaccine injured people have damaged immune systems fasting creates new immune cells 	  new aicle vaccine injury treatment  fasting for 8 hours creates autophagy  bodys detox process that kills covid  vaccine spike protein damaged cells  reboots immune systemmrna vaccine injured people have damaged immune systems fasting creates new immune cells 	new aicle vaccine injury treatment fasting 8 hours creates autophagy bodys detox process kills covid vaccine spike protein damaged cells reboots immune systemmrna vaccine injured people damaged immune systems fasting creates new immune cells
8	 @makismd: sep.2021, milan, italy - 57 year old man developed purpura 14 days after 1st dose astrazeneca covid-19 vaccine diagnosis: vasculitis. these reactions are being seen with all covid-19 vaccines, confirming spike protein toxicity to blood vessels!#diedsuddenly #cdnpoli #ableg https://t.co/nemiyxgud9	1.0	1	COVID-19	  sep milan italy   year old man developed purpura  days after st dose astrazeneca covid  vaccine diagnosis vasculitis these reactions are being seen with all covid  vaccine  confirming spike protein toxicity to blood vesselsdiedsuddenly cdnpoli ableg 	  sep milan italy   year old man developed purpura  days after st dose astrazeneca covid  vaccine diagnosis vasculitis these reactions are being seen with all covid  vaccine  confirming spike protein toxicity to blood vesselsdiedsuddenly cdnpoli ableg 	sep milan italy year old man developed purpura days st dose astrazeneca covid vaccine diagnosis vasculitis reactions seen covid vaccine confirming spike protein toxicity blood vesselsdiedsuddenly cdnpoli ableg
9	 @marinamedvin: 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨the first study on mrna covid-19 vaccine in children showed that the vax increases children's susceptibility to other infections.this vaccine harms children... read the study.https://t.co/twyqxrutyd	1.0	1	COVID-19	  the first study on mrna covid  vaccine in children showed that the vax increases childrens susceptibility to other infectionsthis vaccine harms children read the study	  the first study on mrna covid  vaccine in children showed that the vax increases childrens susceptibility to other infectionsthis vaccine harms children read the study	first study mrna covid vaccine children showed vax increases childrens susceptibility infectionsthis vaccine harms children read study
