	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word	text_wo_stopwords_or_filter
0	"""Covid, ecco perché i casi crescono. Nessun allarme ma vaccini ai fragili"" https://t.co/H3E7M2wKnq"	1.0	0.0	2023-08-31 10:20	covid  ecco perché i casi crescono nessun allarme ma vaccini ai fragili 	vaccini	covid  ecco perché i casi crescono nessun allarme ma  ai fragili 	covid ecco casi crescono nessun allarme fragili
1	"""L'ex-virostar Roberto Burioni attacca sui social il senatore leghista Claudio Borghi ""reo"" di aver aderito alla giornata in ricordo delle vittime dei vaccini""Ovviamente @borghi_claudio ha asfaltato e riasfaltato un saccente quanto arrogante Burioni.Bene così! https://t.co/O50XNSMHGU"	1.0	1.0	2023-09-09 8:18	lexvirostar robeo burioni attacca sui social il senatore leghista claudio borghi reo di aver aderito alla giornata in ricordo delle vittime dei vacciniovviamente  ha asfaltato e riasfaltato un saccente quanto arrogante burionibene così 	vaccini	lexvirostar robeo burioni attacca sui social il senatore leghista claudio borghi reo di aver aderito alla giornata in ricordo delle vittime dei ovviamente  ha asfaltato e riasfaltato un saccente quanto arrogante burionibene così 	lexvirostar robeo burioni attacca social senatore leghista claudio borghi reo aver aderito giornata ricordo vittime ovviamente asfaltato riasfaltato saccente arrogante burionibene così
2	"#Covid Nuovi vaccini aggiornati per tutti in UsaCDC: ""La vaccinazione, oltre a ospedalizzazione e morte riduce anche la possibilità di subire gli effetti del #LongCovid, che possono svilupparsi durante o in seguito a un'infezione acuta e durare per un periodo prolungato"""	1.0	0.0	2023-09-13 6:00	covid nuovi vaccini aggiornati per tutti in usacdc la vaccinazione oltre a ospedalizzazione e moe riduce anche la possibilità di subire gli effetti del longcovid  che possono svilupparsi durante o in seguito a uninfezione acuta e durare per un periodo prolungato	vaccini	covid nuovi  aggiornati per tutti in usacdc la vaccinazione oltre a ospedalizzazione e moe riduce anche la possibilità di subire gli effetti del longcovid  che possono svilupparsi durante o in seguito a uninfezione acuta e durare per un periodo prolungato	covid nuovi aggiornati usacdc vaccinazione oltre ospedalizzazione moe riduce possibilità subire effetti longcovid possono svilupparsi durante seguito uninfezione acuta durare periodo prolungato
3	"#Covid Nuovi vaccini. Schillaci conferma vaccini da ottobre e precisa """"tra quindici giorni"", quindi dal 1 ottobre"	1.0	0.0	2023-09-15 11:43	covid nuovi vaccini schillaci conferma vaccini da ottobre e precisa tra quindici giorni quindi dal  ottobre	vaccini	covid nuovi  schillaci conferma  da ottobre e precisa tra quindici giorni quindi dal  ottobre	covid nuovi schillaci conferma ottobre precisa quindici giorni quindi ottobre
4	"#Covid. #Schillaci: ""Tra 15 giorni pronti i nuovi #vaccini ma non abbiamo ancora deciso se saranno offerti gratuitamente a tutti"" #Sanità https://t.co/lytVrmeAwV"	1.0	0.0	2023-09-14 11:56	covid  schillaci tra  giorni pronti i nuovi vaccini ma non abbiamo ancora deciso se saranno offei gratuitamente a tutti sanità 	vaccini	covid  schillaci tra  giorni pronti i nuovi  ma non abbiamo ancora deciso se saranno offei gratuitamente a tutti sanità 	covid schillaci giorni pronti nuovi ancora deciso offei gratuitamente sanità
5	#invasione LO AVEVAMO CAPITO DA  TEMPO DA QUESTI DUE TWEETS DI VOI FRATELLI VACCINI cara @GiorgiaMeloni SIETE DEI TRADITORI DI ELETTORI ANCHE VOI, FORS'ANCHE PEGGIO DEI SINISTRI, CANCRO D'ITALIA, VERGOGNATEVI @FratellidItalia @LegaSalvini @forza_italia @FrancescoLollo1   ?? https://t.co/EmHozixACa	1.0	0.0	2023-09-14 8:35	invasione lo avevamo capito da  tempo da questi due tweets di voi fratelli vaccini cara  siete dei traditori di elettori anche voi forsanche peggio dei sinistri cancro ditalia vergognatevi        	vaccini	invasione lo avevamo capito da  tempo da questi due tweets di voi fratelli  cara  siete dei traditori di elettori anche voi forsanche peggio dei sinistri cancro ditalia vergognatevi        	invasione capito tempo due tweets fratelli cara traditori elettori forsanche peggio sinistri cancro ditalia vergognatevi
7	#Juorno #tumori 40 #vaccini anti #cancro a #mRNA in sperimentazionehttps://t.co/NrZt1whT8x	1.0	0.0	2023-09-22 18:44	juorno tumori  vaccini anti cancro a mrna in sperimentazione	vaccini	juorno tumori   anti cancro a mrna in sperimentazione	juorno tumori anti cancro mrna sperimentazione
8	#LongCovid non è causato dai #vaccini. Non sapete niente, #novax.	1.0	1.0	2023-09-16 12:08	longcovid non è causato dai vaccini non sapete niente novax 	vaccini	longcovid non è causato dai  non sapete niente novax 	longcovid causato sapete niente novax
9	#News #Vaccini?? Giovedì 14 settembre, la Corte di Cassazione, sezione Lavoro, ha confermato un altro caso di decesso da VACCINO, con il conseguente diritto all'indennizzo in favore degli eredi. Chi nega i decessi sui social e sui giornali volta la testa o la mette sotto la https://t.co/F84A6AJOGm	1.0	1.0	2023-09-17 22:41	news vaccini giovedì  settembre la coe di cassazione sezione lavoro ha confermato un altro caso di decesso da vaccino con il conseguente diritto allindennizzo in favore degli eredi chi nega i decessi sui social e sui giornali volta la testa o la mette sotto la 	vaccini	news  giovedì  settembre la coe di cassazione sezione lavoro ha confermato un altro caso di decesso da vaccino con il conseguente diritto allindennizzo in favore degli eredi chi nega i decessi sui social e sui giornali volta la testa o la mette sotto la 	news giovedì settembre coe cassazione sezione lavoro confermato altro caso decesso vaccino conseguente diritto allindennizzo favore eredi nega decessi social giornali volta testa mette sotto
10	#Nobel #mRna #vaccini #covid #BigPharma quando una vignetta sintetizza il tutto! https://t.co/WAUeVfLDdY	1.0	1.0	2023-10-05 12:45	nobel mrna vaccini covid bigpharma quando una vignetta sintetizza il tutto 	vaccini	nobel mrna  covid bigpharma quando una vignetta sintetizza il tutto 	nobel mrna covid bigpharma quando vignetta sintetizza
