	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word	text_wo_stopwords_or_filters
0	RT @henrywbenedict: Please watch this 100% verifiable COVID-19 vaccine injury compilation video, which includes tons of examples. This should be shared with EVERYONE and even those who still believe the mainstream narrative. It's time to wake people up! https://t.co/VldUd7YAhQ	1.0	1.0	2023-08-01 9:04	  please watch this  verifiable covid  vaccine injury compilation video which includes tons of examples this should be shared with everyone and even those who still believe the mainstream narrative its time to wake people up 	vaccine	  please watch this  verifiable covid   injury compilation video which includes tons of examples this should be shared with everyone and even those who still believe the mainstream narrative its time to wake people up 	please watch verifiable covid injury compilation video includes tons examples shared everyone even still believe mainstream narrative time wake people
1	RT @rebecca_morgan: @JimFergusonUK Whilst I agree with the tweet, we cannot brush under the carpet the fact that Trump was and still takes credit for being the Warp Speed Vaccine King. Politics cannot get in the way of truth anymore	1.0	0.0	2023-08-01 9:51	   whilst i agree with the tweet we cannot brush under the carpet the fact that trump was and still takes credit for being the warp speed vaccine king politics cannot get in the way of truth anymore	vaccine	   whilst i agree with the tweet we cannot brush under the carpet the fact that trump was and still takes credit for being the warp speed  king politics cannot get in the way of truth anymore	whilst agree tweet cannot brush carpet fact trump still takes credit warp speed king politics cannot get way truth anymore
3	RT @jimmy_dore: Watch This: Bill Gates bought $55m in Pfizer stock before the pandemic, he cashed it in for $500m, and then IMMEDIATELY started trashing the Covid vaccine saying it doesn't work!! He then pushes a NEW vaccine that he's the #1 investor in.  People who think he's a philanthropist	1.0	0.0	2023-08-01 10:22	  watch this bill gates bought m in pfizer stock before the pandemic he cashed it in for m and then immediately staed trashing the covid vaccine saying it doesnt work he then pushes a new vaccine that hes the  investor in  people who think hes a philanthropist	vaccine	  watch this bill gates bought m in pfizer stock before the pandemic he cashed it in for m and then immediately staed trashing the covid  saying it doesnt work he then pushes a new  that hes the  investor in  people who think hes a philanthropist	watch bill gates bought pfizer stock pandemic cashed immediately staed trashing covid saying doesnt work pushes new hes investor people think hes philanthropist
4	RT @wolsned: The legend Jimmy Dore on Bill Gates' pump and dump covid vaccine scam.Gates made an absolute killing... Literally. https://t.co/PcjiAPd8Wc	1.0	0.0	2023-08-01 10:23	  the legend jimmy dore on bill gates pump and dump covid vaccine scamgates made an absolute killing literally 	vaccine	  the legend jimmy dore on bill gates pump and dump covid  scamgates made an absolute killing literally 	legend jimmy dore bill gates pump dump covid scamgates made absolute killing literally
5	RT @Shaz101101: This report is stupid on so many levels ???? supposedly the virus causes more heart damage than the vaccine, so the logical fallacy is take the vaccine to protect yourselfbut the vaccine does not reduce your chance of heart damage so you have in fact increased your risk ??	1.0	0.0	2023-08-01 11:42	  this repo is stupid on so many levels  supposedly the virus causes more hea damage than the vaccine  so the logical fallacy is take the vaccine to protect yourselfbut the vaccine does not reduce your chance of hea damage so you have in fact increased your risk 	vaccine	  this repo is stupid on so many levels  supposedly the virus causes more hea damage than the   so the logical fallacy is take the  to protect yourselfbut the  does not reduce your chance of hea damage so you have in fact increased your risk 	repo stupid many levels supposedly virus causes hea damage logical fallacy take protect reduce chance hea damage fact increased risk
7	A survey by @icmr_niv has found #nipah virus in bats across #india, reports @IndianExpress. @CEPIvaccines is supporting #vaccine development as this is a #priority pathogen of #pandemic potential.#vaccinenation #vaccines #nipahvirus #virus #bat https://t.co/KuZwMS5vzw	1.0	0.0	2023-08-01 13:42	a survey by  has found nipah virus in bats across india repos   is suppoing vaccine development as this is a priority pathogen of pandemic potentialvaccine ation vaccine  nipahvirus virus bat 	vaccine	a survey by  has found nipah virus in bats across india repos   is suppoing  development as this is a priority pathogen of pandemic potential ation   nipahvirus virus bat 	survey found nipah virus bats across india repos suppoing development priority pathogen pandemic potential ation nipahvirus virus bat
9	RT @DecodingFoxNews: If there was ever a time I wanted people to retweet something - A vaccine specialist, Dr. Paul Offit,  spells out how RFK Jr. played a role in discouraging vaccination rates in a small population. A measles outbreak followed which resulted in 83 deaths mostly of young children. https://t.co/itED5aV1MU	1.0	0.0	2023-08-01 14:10	  if there was ever a time i wanted people to retweet something  a vaccine specialist dr paul offit  spells out how rfk jr played a role in discouraging vaccination rates in a small population a measles outbreak followed which resulted in 8 deaths mostly of young children 	vaccine	  if there was ever a time i wanted people to retweet something  a  specialist dr paul offit  spells out how rfk jr played a role in discouraging vaccination rates in a small population a measles outbreak followed which resulted in 8 deaths mostly of young children 	ever time wanted people retweet something specialist dr paul offit spells rfk jr played role discouraging vaccination rates small population measles outbreak followed resulted 8 deaths mostly young children
10	RT @Frankie250567: Is anyone, ANYONE from MSM going to ask the direct question to our Unelected PM (who was second choice to Lizzy) how much he and his family will make from the very recent oilcontracts and how much he and his family have made and continue to make from their vaccine Moderna shares	1.0	0.0	2023-08-01 15:31	  is anyone anyone from msm going to ask the direct question to our unelected pm who was second choice to lizzy how much he and his family will make from the very recent oilcontracts and how much he and his family have made and continue to make from their vaccine moderna shares	vaccine	  is anyone anyone from msm going to ask the direct question to our unelected pm who was second choice to lizzy how much he and his family will make from the very recent oilcontracts and how much he and his family have made and continue to make from their  moderna shares	anyone anyone msm going ask direct question unelected pm second choice lizzy much family make recent oilcontracts much family made continue make moderna shares
11	"RT @TexasLindsay_: GAME OVER. Fauci's Former Boss:""We think vaccine research resulted in the pandemic  that vaccine ­research was the proximate cause"" Robert Kadlec, Former Asst. Sec. of HHShttps://t.co/y7DeIGZoEG"	1.0	0.0	2023-08-01 15:37	  game over faucis former bosswe think vaccine research resulted in the pandemic  that vaccine research was the proximate cause robe kadlec former asst sec of hhs	vaccine	  game over faucis former bosswe think  research resulted in the pandemic  that  research was the proximate cause robe kadlec former asst sec of hhs	game faucis former bosswe think research resulted pandemic research proximate cause robe kadlec former asst sec hhs
12	RT @AfricanArchives: On this day in 1920, Henrietta Lacks was born.Her cells were taken without her knowledge in 1951 (HeLa cells) and became one of the most important tools in medicine. They became vital for developing the polio vaccine, cloning, gene mapping, vitro fertilization &amp; moreA THREAD https://t.co/pI1NjK9Pow	1.0	0.0	2023-08-01 15:38	  on this day in  henrietta lacks was bornher cells were taken without her knowledge in  hela cells and became one of the most impoant tools in medicine they became vital for developing the polio vaccine  cloning gene mapping vitro feilization  morea thread 	vaccine	  on this day in  henrietta lacks was bornher cells were taken without her knowledge in  hela cells and became one of the most impoant tools in medicine they became vital for developing the polio   cloning gene mapping vitro feilization  morea thread 	day henrietta lacks bornher cells taken without knowledge hela cells became one impoant tools medicine became vital developing polio cloning gene mapping vitro feilization morea thread
13	RT @TonyHinton2016: The more doses of Covid vaccine you have the more likely you will catch Covid. How exactly is that 'effective'?	1.0	0.0	2023-08-01 15:46	  the more doses of covid vaccine you have the more likely you will catch covid  how exactly is that effective	vaccine	  the more doses of covid  you have the more likely you will catch covid  how exactly is that effective	doses covid likely catch covid exactly effective
14	RT @uglygame: Oh no, Matt Le Tissier - vaccine and climate change cretin and full-tike CBD hawker - might be getting into crypto... https://t.co/sdQyrql9m1	1.0	0.0	2023-08-01 16:57	  oh no matt le tissier  vaccine and climate change cretin and fulltike cbd hawker  might be getting into crypto 	vaccine	  oh no matt le tissier   and climate change cretin and fulltike cbd hawker  might be getting into crypto 	oh matt le tissier climate change cretin fulltike cbd hawker might getting crypto
15	RT @TheRustler83: 2020A Flu-like pandemic arrivesThe Flu disappears2021A first-ever Coronavirus Vaccine is given to 4 Billion people202295% of 'COVID' deaths in the UK are amongst the vaccinatedFlu is back2023The UK records highest levels of excess death at any time over the 'pandemic' https://t.co/gRozOo5evW	1.0	0.0	2023-08-01 17:27	  a flulike pandemic arrivesthe flu disappearsa firstever coronavirus vaccine is given to  billion people of covid  deaths in the uk are amongst the vaccinatedflu is backthe uk records highest levels of excess death at any time over the pandemic 	vaccine	  a flulike pandemic arrivesthe flu disappearsa firstever coronavirus  is given to  billion people of covid  deaths in the uk are amongst the vaccinatedflu is backthe uk records highest levels of excess death at any time over the pandemic 	flulike pandemic arrivesthe flu disappearsa firstever coronavirus given billion people covid deaths uk amongst vaccinatedflu backthe uk records highest levels excess death time pandemic
16	COVID-19 Vaccine Hesitancy Among Pregnant Womenhttps://t.co/MtcpSBSfPP	1.0	0.0	2023-08-01 17:40	covid  vaccine hesitancy among pregnant women	vaccine	covid   hesitancy among pregnant women	covid hesitancy among pregnant women
17	RT @Censored4sure: The fact that both parents scrubbed all pro vaccine propaganda off their Facebook pages is very suspicious behavior. Shame on you Michael. A concerned parent doesn't behave in that manner. Blood is on your hands. You were pushing the vaccine heavily but nothing can be seen after https://t.co/Mk2OqYmS3Q	1.0	0.0	2023-08-01 18:11	  the fact that both parents scrubbed all pro vaccine propaganda off their facebook pages is very suspicious behavior shame on you michael a concerned parent doesnt behave in that manner blood is on your hands you were pushing the vaccine heavily but nothing can be seen after 	vaccine	  the fact that both parents scrubbed all pro  propaganda off their facebook pages is very suspicious behavior shame on you michael a concerned parent doesnt behave in that manner blood is on your hands you were pushing the  heavily but nothing can be seen after 	fact parents scrubbed pro propaganda facebook pages suspicious behavior shame michael concerned parent doesnt behave manner blood hands pushing heavily nothing seen
18	RT @WallStreetApes: Former Pfizer VP Dr. Mike Yeadon: 'Do not take anything w/ the word vaccine on it. Especially if it comes w/ emergency or mRNA, DON'T TAKE IT. They're lying to you about the reason for needing it. If you follow the official story &amp; narrative you'll lose your freedom &amp; your life' https://t.co/NAS5AVI5ZQ	1.0	0.0	2023-08-01 18:15	  former pfizer vp dr mike yeadon do not take anything w the word vaccine on it especially if it comes w emergency or mrna dont take it theyre lying to you about the reason for needing it if you follow the official story  narrative youll lose your freedom  your life 	vaccine	  former pfizer vp dr mike yeadon do not take anything w the word  on it especially if it comes w emergency or mrna dont take it theyre lying to you about the reason for needing it if you follow the official story  narrative youll lose your freedom  your life 	former pfizer vp dr mike yeadon take anything w word especially comes w emergency mrna dont take theyre lying reason needing follow official story narrative youll lose freedom life
19	RT @_aussie17: Boy oh boy it keeps coming out in our aussie  news. Its like the dam has broken.125 Essential services workers injured by vaccine and received payouts in Victoria. clots, seizures, stroke linked to the jab! Essential workers are a subset of Victorias population!! not rare	1.0	1.0	2023-08-01 18:54	  boy oh boy it keeps coming out in our aussie  news its like the dam has broken essential services workers injured by vaccine and received payouts in victoria clots seizures stroke linked to the jab essential workers are a subset of victorias population not rare	vaccine	  boy oh boy it keeps coming out in our aussie  news its like the dam has broken essential services workers injured by  and received payouts in victoria clots seizures stroke linked to the jab essential workers are a subset of victorias population not rare	boy oh boy keeps coming aussie news like dam broken essential services workers injured received payouts victoria clots seizures stroke linked jab essential workers subset victorias population rare
20	"RT @DiedSuddenly_: This video says it all.When will the Covid-19 vaccine ""experts"" that were paraded around mainstream media engage in a real debate?Peter Hotez refused to debate RFK JR. He'd rather hide behind his lab coat than field tough questions. This is not going away. We will not https://t.co/ljihRihiJH"	1.0	0.0	2023-08-01 19:31	  this video says it allwhen will the covid  vaccine expes that were paraded around mainstream media engage in a real debatepeter hotez refused to debate rfk jr hed rather hide behind his lab coat than field tough questions this is not going away we will not 	vaccine	  this video says it allwhen will the covid   expes that were paraded around mainstream media engage in a real debatepeter hotez refused to debate rfk jr hed rather hide behind his lab coat than field tough questions this is not going away we will not 	video says allwhen covid expes paraded around mainstream media engage real debatepeter hotez refused debate rfk jr hed rather hide behind lab coat field tough questions going away
