	Text	Vaccine content	Vaccine safety	Filter
0	florida county gop declares covid-19 and mrna covid vaccine a 'bioweapon' https://t.co/bxkq6wyxcq #gatewaypundit via @gatewaypundit	1	1	COVID
1	https://t.co/fvfiehgkhu	1	1	COVID
2	more covid-19 vaccine death data 👇🤬https://t.co/xpeyg6jpun	1	1	COVID
3	a presidential debate and the covid vaccine is never mentioned. how out-of-touch are these people!?	1	0	COVID
4	biden says new covid vaccines are 'likely' to be recommended to every american this fall - including children - amid upswing in infections https://t.co/o6fn4hldtk https://t.co/8ulw2riyn3	1	0	COVID
5	cdc closed their reporting system for covid shots 3 months ago.wonder why…https://t.co/ajppdik8i9https://t.co/qtsnbby2mathe war on mitochondria…1,000 different symptoms stemming from one toxoid.	1	0	COVID
6	chính phủ mỹ cấp 1,4 tỷ đô để phát triển thuốc và vắc-xin mới chống covid https://t.co/byi8xl386w	1	0	COVID
7	https://t.co/3kzgczvvbi	1	0	COVID
8	https://t.co/eyntz8rif8	1	0	COVID
9	the covid vaccines are causing meat allergies in many people. there has been an explosion in these cases in the past two years. this is all planned. i guess we won't be allergic to eating insects tho.😶https://t.co/p5wmnato82	1	0	COVID
10	the fast-spreading new covid-19 subvariant xbb is part of a 'new class' of omicron #europe #china #infections #britain #cdc #who #covid19 #viruscrisis #usa #pandemic #dranthonyfauci #testing #mandates #masks #deaths #vaccine #variantshttps://t.co/ag4qzkusw6	1	0	COVID
11	the who said it will take up the european union's digital covid-19 vaccine passport framework as part of a new global network of digital health certificates./1	1	0	COVID
12	they say that society needs a 'dumb underclass' to function properly. here ya go! @rutgersu will require masks and covid vaccine this fall. 😫 #wednesdaythought https://t.co/zhqjkf8nfr	1	0	COVID
13	updated covid-19 vaccines are coming mid-september, officials say #europe #china #infections #britain #cdc #who #covid19 #viruscrisis #usa #pandemic #dranthonyfauci #testing #mandates #masks #deaths #vaccine #variantshttps://t.co/kifxptfa3z	1	0	COVID
14	what to know about the new covid vaccine booster shots that are on the way.  https://t.co/vfk9eccspa	1	0	COVID
15	what to know about vaccines for covid-19, rsv and the flu:  verify fact sheet https://t.co/5k5evbjrar	1	0	COVID
