	Text	Vaccine content	Vaccine safety	text_clean	Filter	text_without_stopwords	text_wo_filter_word
0	florida county gop declares covid-19 and mrna covid vaccine a 'bioweapon' https://t.co/bxkq6wyxcq #gatewaypundit via @gatewaypundit	1	1	florida county gop declares covid  and mrna covid vaccine a bioweapon  gatewaypundit via 	COVID	florida county gop declares covid mrna covid vaccine bioweapon gatewaypundit via	florida county gop declares covid  and mrna covid vaccine a bioweapon  gatewaypundit via 
2	more covid-19 vaccine death data 👇🤬https://t.co/xpeyg6jpun	1	1	more covid  vaccine death data 	COVID	covid vaccine death data	more covid  vaccine death data 
3	A Presidential debate and the covid vaccine is never mentioned. How out-of-touch are these people!?	1	0	a presidential debate and the covid vaccine is never mentioned how outoftouch are these people	COVID	presidential debate covid vaccine never mentioned outoftouch people	a presidential debate and the covid vaccine is never mentioned how outoftouch are these people
4	Biden says new Covid vaccines are 'likely' to be recommended to EVERY American this fall - including children - amid upswing in infections https://t.co/o6FN4HLdtK https://t.co/8uLw2RIYn3	1	0	biden says new covid vaccine  are likely to be recommended to every american this fall  including children  amid upswing in infections  	COVID	biden says new covid vaccine likely recommended every american fall including children amid upswing infections	biden says new covid vaccine  are likely to be recommended to every american this fall  including children  amid upswing in infections  
5	CDC closed their reporting system for Covid shots 3 months ago.Wonder why…https://t.co/AJpPdIk8i9https://t.co/QTsNBBY2MAThe war on mitochondria…1,000 different symptoms stemming from one toxoid.	1	0	cdc closed their repoing system for covid shots 3 months agowonder why war on mitochondria1000 different symptoms stemming from one toxoid	COVID	cdc closed repoing system covid shots 3 months agowonder war mitochondria1000 different symptoms stemming one toxoid	cdc closed their repoing system for covid shots 3 months agowonder why war on mitochondria1000 different symptoms stemming from one toxoid
6	Chính phủ Mỹ cấp 1,4 tỷ đô để phát triển thuốc và vắc-xin mới chống COVID https://t.co/BYI8xL386w	1	0	chính phủ mỹ cấp 14 tỷ đô để phát triển thuốc và vắcxin mới chống covid 	COVID	chính phủ mỹ cấp 14 tỷ đô để phát triển thuốc và vắcxin mới chống covid	chính phủ mỹ cấp 14 tỷ đô để phát triển thuốc và vắcxin mới chống covid 
9	The covid vaccines are causing meat allergies in many people. There has been an explosion in these cases in the past two years. This is all planned. I guess we won't be allergic to eating insects tho.😶https://t.co/p5wMnaTO82	1	0	the covid vaccine  are causing meat allergies in many people there has been an explosion in these cases in the past two years this is all planned i guess we wont be allergic to eating insects tho	COVID	covid vaccine causing meat allergies many people explosion cases past two years planned guess wont allergic eating insects tho	the covid vaccine  are causing meat allergies in many people there has been an explosion in these cases in the past two years this is all planned i guess we wont be allergic to eating insects tho
10	The Fast-Spreading New COVID-19 Subvariant XBB Is Part of a 'New Class' of Omicron #Europe #China #Infections #Britain #CDC #WHO #COVID19 #VirusCrisis #USA #Pandemic #DrAnthonyFauci #Testing #Mandates #Masks #Deaths #Vaccine #Variantshttps://t.co/ag4qzKUsW6	1	0	the fastspreading new covid  subvariant xbb is pa of a new class of omicron europe china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	COVID	fastspreading new covid subvariant xbb pa new class omicron europe china infections britain cdc covid viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	the fastspreading new covid  subvariant xbb is pa of a new class of omicron europe china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants
11	The WHO said it will take up the European Union's digital COVID-19 vaccine passport framework as part of a new global network of digital health certificates./1	1	0	the who said it will take up the european unions digital covid  vaccine passpo framework as pa of a new global network of digital health ceificates1	COVID	said take european unions digital covid vaccine passpo framework pa new global network digital health ceificates1	the who said it will take up the european unions digital covid  vaccine passpo framework as pa of a new global network of digital health ceificates1
12	They say that society needs a 'dumb underclass' to function properly. Here ya go! @RutgersU will require masks and COVID vaccine this Fall. 😫 #WednesdayThought https://t.co/zhQJkF8Nfr	1	0	they say that society needs a dumb underclass to function properly here ya go  will require masks and covid vaccine this fall  wednesdaythought 	COVID	say society needs dumb underclass function properly ya go require masks covid vaccine fall wednesdaythought	they say that society needs a dumb underclass to function properly here ya go  will require masks and covid vaccine this fall  wednesdaythought 
