,Annotator1,Annotator2,Annotator3,label,text clean,index
4,1,1,1,1,se sospendono la serie a a tempo indeterminato 48 ore dopo lotito trova il vaccino,A1238
5,1,1,1,1,"coronavirus, il ministro speranza: “firmato accordo per 400 milioni di dosi del candidato vaccino di oxford pomezia” link",A651
18,1,1,1,1,"virus cina, scienziati usa al lavoro per vaccino link link",A1363
20,1,1,1,1,"coronavirus, ema possibile disponibilità vaccino in un anno - europa - link link",A642
25,1,1,1,1,"#vaccino #modernainc  l'annuncio, ovviamente, è stato premiato dai mercati finanziari e a wall street l'azienda biotecnologica  americana guadagna il 23,78% a 82,73 dollari. - see more at: link  #covid19",A434
26,1,1,1,1,user user ad oggi è già stato somministrato ad oltre 320 volontari e potrebbe essere disponibile già a dicembre. si accelerano i tempi per il vaccino anti-covid al quale sta lavorando lo jenner institute della oxford university con la partnership dell’azienda italiana advent-irbm di pomezi,A228
28,1,1,1,1,"trump vuole il vaccino per il coronavirus in esclusiva per gli usa, l’ira della germania: “sarà per tutto il mondo” #16marzo link",A1289
36,1,1,1,1,"che vi venga un colpo! ????????????????????????coronavirus, stampa tedesca: washington vuole l'esclusiva di un vaccino - rai news link",A568
42,1,1,1,1,il futuro secondo il virologo andrea crisanti (il vaccino non è certo) link,A915
46,1,1,1,1,"#coronavirus: pronta la mappa in 3d, utile a #farmaci e #vaccino è struttura di una delle armi del #virus user user user #ansascienza user link",A388
51,1,1,1,1,"a favore o contro, è falso che sperimentazioni di possibili vaccino o farmaco contro #coronavirus sono rallentate da legge italiana ""restrittiva"" su test animali. la realtà del decreto 26-2014 è altra. speculazioni anti animalisti le rispediamo al mittente link",A463
52,1,1,1,1,"da personaggio più odiato di germania per ragioni legate al suo hoffenheim, il magnate tedesco potrebbe trovare riscatto grazie al vaccino contro il coronavirus al quale lavora la sua casa farmaceutica. alla presunta offerta di trump ha risposto picche. link",A748
57,1,1,1,1,"coronavirus, la corsa al vaccino: 118 candidati, 10 in sperimentazione clinica link",A664
67,1,1,1,1,"coronavirus, qual è il vaccino annunciato dal ministro speranza che potrebbe arrivare a fine anno link",A680
70,1,1,1,1,"vaccino covid-19, accordo europeo: 'presto in italia 15 milioni di dosi' link",A1329
88,1,1,1,1,coronavirus ricciardi: “verso produzione del vaccino in italia in autunno le prime dosi” -  #coronavirus #ricciardi: #“verso  link,A612
100,1,1,1,1,"coronavirus, primo test di un vaccino su un essere umano. si lavora anche ai farmaci link",A677
104,1,1,1,1,coronavirus. liguori (irbm pomezia): lavoriamo per produrre presto vaccino link,A724
106,1,1,1,1,"vaccino, test in italia in estate link",A1354
