,Annotator1,Annotator2,Annotator3,label,text clean,index
1,0,0,0,0,"con i primi freddi arrivano anche i malanni stagionali: l'influenza, normalmente una malattia lieve, pu causare forme gravi in persone a rischio. per questo motivo  bene vaccinarsi ogni anno! link #influenza #vaccino link",A591
3,0,0,0,0,user fino al vaccino non vanno presi mezzi pubblici se ci si tiene a non finire intubati.,A80
16,0,0,0,0,"coronavirus, burioni: bene terapia plasma, ma meglio il vaccino link",A629
21,0,0,0,0,link l'immunità di gregge regge se c'è un vaccino garantito.,A850
23,0,0,0,0,atto di fiducia verso chi ... se non esiste un vaccino non so se è dura da capire che sarà così fino a che non si troverà vaccino ... forse l’atto di fiducia è per tutte le aziende e persone che lo hanno votato forse tra 1 mese richiuderà tutto creando più danni #coronavirus link,A520
31,0,0,0,0,"qualcuno no. e c'è chi lo ha capito, ma a un certo punto ha deciso di fregarsene. l'egoismo e l'irresponsabilità hanno prevalso. speriamo trovino presto una cura, speriamo trovino presto un vaccino. altrimenti non so come andrà. certo noi fragili resteremo a casa. ma non basterà.",A1179
45,0,0,0,0,user quando vorrei che almeno in questa circostanza chiunque perfezioni il vaccino più efficace lo rendesse risponibile e gratuito per tutti....,A161
48,0,0,0,0,user io faccio il vaccino dal 2001. nel 2000 avevo avuto un’influenza terribile che non passava mai. ma nessuno ricorda l’asiatica del 1957?,A343
60,0,0,0,0,avete capito adesso che questa è una tragedia è una sciagura spingete per il vaccino spingete fate qualcosa lottiamo per avere il vaccino e farmaci non pensiamo a colonizzare marte per favore!  #lariachetirala7   #covid19italia,A522
61,0,0,0,0,"user non è il virus che ha perso forza, è l’uomo che è più “forte” a combatterlo. col lockdown, le mascherine, il distanziamento, le diagnosi precoci, le terapie più mirate..forse un giorno muterà e si trasformerà in un virus del raffreddore.  un giorno. forse prima avremo un vaccino",A190
65,0,0,0,0,“il vaccino arriverà in tempi record” - la cronaca di verona link,A50
69,0,0,0,0,il globo deve unire i migliori virologi e finanziare ad alta scala studi e test per vaccino e cure subito #coronvirus,A917
78,0,0,0,0,"dobbiamo pregare per dei farmaci efficaci,in attesa del vaccino #dimartedi",A772
86,0,0,0,0,"a chi pensa  che i vaccini predispongano  al covid 19 faccio rispondere al professore claudio puoti a cui ho rubato la traduzione dal titolo ""vaccination and respiratory virus interference among department of defense personnel during the 2017-2018 influenza season"" link",A461
87,0,0,0,0,"""capisco che tutti abbiamo voglia di tornare alla normalità. ma la normalità che abbiamo conosciuto non ci sarà più fino a quando non ci sara' un vaccino"". lo ha detto il ministro per gli affari regionali, francesco boccia.",A20
112,0,0,0,0,user bisogna avere il coraggio di trovare una strategia sociale ed economica per stare tutti a casa fino al vaccino senza dire cazzate e prendere tempo. nella mia regione ci sono stati più di tremila morti non penso che la gente è cogliona sa che mostro è ma vuole risposte economiche,A273
123,0,0,0,0,"user ho il voltastomaco: con la gente che muore si pensa ai concerti. pure a me mancano i concerti, le passeggiate, le cene, la socialità, i convegni, il teatro, il cinema ma senza una immunità (raggiunta o naturalmente o con un vaccino) tutto si trasformerebbe in suicidio di massa.",A297
125,0,0,0,0,"user_gattaccio user_angela user fino a quando? spero poche settimane ancora. il mondo è cambiato, non ci saranno mai più stadi pieni, concerti pieni, locali pieni, non ci dovranno essere. i miei sono anziani, dovrò stare attento con loro finché campano. guanti e maschere temo fino al vaccino.",A267
129,0,0,0,0,"un anno e mezzo se va bene....in cina già passeggiano per strada. ora, tra cure e vaccino entro fine anno dovrebbe essere tutto risolto. i giornalisti si dovrebbero dare una regolata direi.",A1299
150,0,0,0,0,"per me le palestre apriranno solo per chi avrà un appuntamento con un personal trainer. e' l'unico modo per avere entrate scaglionate e non creare assembramenti. per tornare al liberi tutti di prima bisognerà aspettare il vaccino, alternative non esistono.",A1152
151,0,0,0,0,"user ipotesi per assurdo:""0 casi,0 morti,liberi tutti,torna la normalità"" tutti a festeggiare:tra di noi ci sarà l'ultimo asintomatico inconsapevole che infetta tutti e ripartiamo da capo. la normalità tornerà al 100% quando ci sarà il vaccino",A117
170,0,0,0,0,"test #vaccino, parla il volontario: ""il peso del mondo su di me"" link link",A1277
176,0,0,0,0,#vaccino fate presto non c'è più tempo!,A435
186,0,0,0,0,"bull gates: ""se il vaccino funziona, lo finanzio per tutto il mondo"". mica candeggina. #covid19 #coronavirus #billgates",A552
188,0,0,0,0,user speriamo riescano ad approntare al più presto il vaccino,A206
